"name","title","typename","crs","date_of_creation","geometry_type","abstract","date_of_download","rast_col","source","link"
"public_lights","÷ffentliche Beleuchtung","s_oeffbeleucht","+init=epsg:25833","02.07.2020","POINT","In der Karte wird die Straﬂenbeleuchtung mit dem jeweiligen Standort, einem Symbol zur Verdeutlichung der Leuchtenart und der Leuchtstellennummer (4-stellig) mit variablem Maﬂstab unter 1:2 000 dargestellt.",2021-04-13,"gml_id","FIS-Broker","https://fbinter.stadt-berlin.de/fb/wfs/data/senstadt/s_oeffbeleucht"
"public_lights","÷ffentliche Beleuchtung","s_oeffbeleucht","+init=epsg:25833","02.07.2020","POINT","In der Karte wird die Straﬂenbeleuchtung mit dem jeweiligen Standort, einem Symbol zur Verdeutlichung der Leuchtenart und der Leuchtstellennummer (4-stellig) mit variablem Maﬂstab unter 1:2 000 dargestellt.",2021-04-13,"leuchtstelle","FIS-Broker","https://fbinter.stadt-berlin.de/fb/wfs/data/senstadt/s_oeffbeleucht"
